"","stadtbereich_code","stadtbereich_bezeichnung","durchschnittsalter","jugendquotient","altenquotient","anzahl_juenger_3","anteil_juenger_3","anzahl_3_6","anteil_3_6","anzahl_6_15","anteil_6_15","anzahl_15_25","anteil_15_25","anzahl_25_35","anteil_25_35","anzahl_35_45","anteil_35_45","anzahl_45_55","anteil_45_55","anzahl_55_65","anteil_55_65","anzahl_65_75","anteil_65_75","anzahl_75_aelter","anteil_75_aelter"
"1","A","Warnemünde",55.6,24.8,89,124,1.5,149,1.8,450,5.3,473,5.6,490,5.8,859,10.1,924,10.9,1500,17.6,1569,18.4,1974,23.2
"2","B","Rostock-Heide",52.7,23,66.3,25,1.5,36,2.1,99,5.8,101,5.9,95,5.5,221,12.8,184,10.7,357,20.7,371,21.6,232,13.5
"3","C","Lichtenhagen",47.2,32.9,55.7,278,2,320,2.3,1115,8,1507,10.8,1425,10.3,1902,13.7,1474,10.6,1772,12.8,1975,14.2,2129,15.3
"4","D","Groß Klein",45.5,33.6,51,284,2.1,318,2.3,1127,8.3,1659,12.2,1500,11,1882,13.9,1462,10.8,1601,11.8,2217,16.3,1536,11.3
"5","E","Lütten Klein",50,27,63,315,1.8,339,2,1100,6.4,1782,10.4,2044,12,2042,12,1569,9.2,2224,13,1926,11.3,3738,21.9
"6","F","Evershagen",46,30.8,48.1,392,2.4,384,2.3,1278,7.7,2013,12.2,2174,13.2,2020,12.2,1647,10,2178,13.2,1904,11.5,2539,15.4
"7","G","Schmarl",43,32.7,39.9,216,2.3,253,2.7,789,8.5,1259,13.6,1296,14,1310,14.1,1022,11,981,10.6,1211,13.1,930,10
"8","H","Reutershagen",47.7,24.7,47,347,2,365,2.1,1127,6.5,1791,10.3,2153,12.4,2418,13.9,1840,10.6,2549,14.7,2131,12.3,2614,15.1
"9","I","Hansaviertel",43.8,24.8,37,214,2.7,215,2.7,538,6.7,1027,12.7,1337,16.6,1213,15.1,774,9.6,896,11.1,775,9.6,1069,13.3
"10","J","Gartenstadt-Stadtweide",45.9,40,44.6,53,1.7,90,2.8,348,10.8,335,10.4,225,7,392,12.2,443,13.8,547,17.1,402,12.5,373,11.6
"11","K","Kröpeliner-Tor-Vorstadt",38.5,19.8,17.8,481,2.5,458,2.4,1104,5.7,3174,16.5,4607,24,3203,16.7,1922,10,1774,9.2,1144,6,1344,7
"12","L","Südstadt",47.7,21.7,50.6,239,1.6,268,1.8,773,5.2,2143,14.3,2393,16,1747,11.6,1223,8.2,1808,12.1,1532,10.2,2875,19.2
"13","M","Biestow",53.1,33.3,70.9,41,1.6,61,2.3,197,7.5,206,7.9,92,3.5,246,9.4,309,11.8,556,21.3,398,15.2,510,19.5
"14","N","Stadtmitte",41.1,27.8,26.1,613,2.9,597,2.8,1707,8,2641,12.4,3535,16.6,3580,16.8,2548,12,2454,11.5,1772,8.3,1832,8.6
"15","O","Brinckmansdorf",47.5,32,43.8,209,2.3,241,2.6,786,8.6,747,8.2,686,7.5,1161,12.7,1241,13.6,1795,19.6,1215,13.3,1065,11.6
"16","P","Dierkow-Neu",43.1,27.3,33.3,260,2.3,270,2.4,848,7.6,1376,12.3,1571,14,1880,16.8,932,8.3,1729,15.5,1599,14.3,723,6.5
"17","Q","Dierkow-Ost",53.6,34.9,84.2,11,1.1,20,2,87,8.6,60,5.9,36,3.6,110,10.9,123,12.2,175,17.3,187,18.5,201,19.9
"18","R","Dierkow-West",50.7,31.1,57.4,23,1.8,32,2.5,103,8.1,87,6.8,67,5.2,162,12.7,159,12.4,256,20,178,13.9,211,16.5
"19","S","Toitenwinkel",41.6,29.4,26.9,417,2.7,457,3,1285,8.3,1906,12.4,2252,14.6,2599,16.9,1465,9.5,2367,15.4,1647,10.7,1005,6.5
"20","T","Gehlsdorf",45.1,31,33.8,139,2.7,152,3,500,9.7,320,6.2,473,9.2,832,16.2,694,13.5,980,19.1,629,12.2,425,8.3
"21","U","Rostock-Ost",47.1,32.4,38.1,24,2,43,3.5,104,8.5,95,7.7,62,5.1,169,13.8,173,14.1,283,23.1,194,15.8,80,6.5
