"","stadtbereich_code","stadtbereich_bezeichnung","abs_bestandsveraenderung","rel_bestandsveraenderung","bestandsveraaenderung_je_1000"
"1","C","Lichtenhagen",-72,-0.5,-5.3
"2","K","Kröpeliner-Tor-Vorstadt",317,1.7,16.8
"3","Q","Dierkow-Ost",-10,-0.9,-8.9
"4","D","Groß Klein",-55,-0.4,-4.3
"5","T","Gehlsdorf",32,0.8,8.4
"6","H","Reutershagen",-96,-0.5,-5.3
"7","G","Schmarl",206,2.7,26.4
"8","M","Biestow",-7,-0.2,-2.4
"9","N","Stadtmitte",6,0,0.3
"10","S","Toitenwinkel",199,1.6,15.6
"11","O","Brinckmansdorf",18,0.2,2.2
"12","E","Lütten Klein",-85,-0.5,-5.1
"13","I","Hansaviertel",38,0.4,4.4
"14","U","Rostock-Ost",-14,-1.1,-11.5
"15","L","Südstadt",-122,-0.8,-8.4
"16","F","Evershagen",-75,-0.5,-4.6
"17","R","Dierkow-West",4,0.3,3.3
"18","P","Dierkow-Neu",38,0.4,3.7
"19","A","Warnemünde",-90,-1.1,-11.1
"20","B","Rostock-Heide",10,0.6,6.4
"21","J","Gartenstadt-Stadtweide",-8,-0.2,-2.4
