"","stadtbereich_code","stadtbereich_bezeichnung","einwohnerzahl","bevoelkerungsdichte"
"1","A","Warnemünde",8535,892
"2","B","Rostock-Heide",1740,33
"3","C","Lichtenhagen",13929,2352
"4","D","Groß Klein",13536,5939
"5","E","Lütten Klein",16634,4670
"6","F","Evershagen",16732,2394
"7","G","Schmarl",8872,2005
"8","H","Reutershagen",17300,3015
"9","I","Hansaviertel",8076,4131
"10","J","Gartenstadt-Stadtweide",3269,676
"11","K","Kröpeliner-Tor-Vorstadt",19260,6476
"12","L","Südstadt",15106,2700
"13","M","Biestow",2581,676
"14","N","Stadtmitte",21288,4576
"15","O","Brinckmansdorf",8985,880
"16","P","Dierkow-Neu",10920,4884
"17","Q","Dierkow-Ost",1020,1996
"18","R","Dierkow-West",1219,1214
"19","S","Toitenwinkel",15375,4177
"20","T","Gehlsdorf",5200,1055
"21","U","Rostock-Ost",1225,40
